measure,location,sex,age,cause,metric,year,val,upper,lower
Deaths,Latin America & Caribbean - WB,Both,15-49 years,Malaria,Number,2001,1818.7280644044554,3448.885883194591,744.9527285965121
Deaths,Latin America & Caribbean - WB,Both,50 to 74 years,Malaria,Number,2001,669.6292161181706,1306.2383196066783,266.0388023136783
Deaths,Latin America & Caribbean - WB,Both,75 plus,Malaria,Number,2001,59.83065047628456,116.2814070269825,25.23960349117643
Deaths,Europe & Central Asia - WB,Both,Under 5,Malaria,Number,2002,46.41452459126373,139.99723762704735,15.879795488878736
Deaths,Europe & Central Asia - WB,Both,5-14 years,Malaria,Number,2002,2.9258124708025397,10.403868469550574,0.7922066214732968
Deaths,Europe & Central Asia - WB,Both,15-49 years,Malaria,Number,2002,31.01277980800021,101.42470607809283,10.480770446843774
Deaths,Europe & Central Asia - WB,Both,50 to 74 years,Malaria,Number,2002,11.944645245410864,35.563284269672415,5.19509640517673
Deaths,Europe & Central Asia - WB,Both,75 plus,Malaria,Number,2002,2.533823563442922,3.835485664741085,1.8522671443355427
Deaths,South Asia - WB,Both,Under 5,Malaria,Number,2001,34263.087980278455,58111.15879169689,17191.75549053734
Deaths,South Asia - WB,Both,5-14 years,Malaria,Number,2001,28999.276501471126,46367.88787162571,15509.001011039294
Deaths,South Asia - WB,Both,15-49 years,Malaria,Number,2001,14086.629274069892,23609.00404083945,7337.56482013457
Deaths,South Asia - WB,Both,50 to 74 years,Malaria,Number,2001,10032.141274399588,17112.682482420572,5270.2543318009175
Deaths,South Asia - WB,Both,75 plus,Malaria,Number,2001,942.838781395166,1622.7311379902271,491.26498746761564
Deaths,Middle East & North Africa - WB,Both,Under 5,Malaria,Number,2002,181.14333332115672,464.90004629610996,45.89959983270759
Deaths,Middle East & North Africa - WB,Both,5-14 years,Malaria,Number,2002,69.63940144324714,177.01686451208624,18.468098040415974
Deaths,Middle East & North Africa - WB,Both,15-49 years,Malaria,Number,2002,3586.611589180636,7359.644467716239,1257.212060803734
Deaths,Middle East & North Africa - WB,Both,50 to 74 years,Malaria,Number,2002,960.3760853687544,2340.713652669511,266.910956073057
Deaths,Middle East & North Africa - WB,Both,75 plus,Malaria,Number,2002,51.17156459139621,129.47549659537248,14.415184920240689
Deaths,Middle East & North Africa - WB,Both,Under 5,Malaria,Number,2005,128.28136539723957,297.2042269682815,35.36201956556065
Deaths,Middle East & North Africa - WB,Both,5-14 years,Malaria,Number,2005,53.840188563249285,119.94588359315004,15.495610562614035
Deaths,Middle East & North Africa - WB,Both,15-49 years,Malaria,Number,2005,3021.1835404805984,5735.177466552369,1002.9688198336898
Deaths,Middle East & North Africa - WB,Both,50 to 74 years,Malaria,Number,2005,822.4004510986796,1799.4689382261315,225.36478144138576
Deaths,Middle East & North Africa - WB,Both,75 plus,Malaria,Number,2005,113.26266293991291,249.86573298171163,30.36140991886511
Deaths,Europe & Central Asia - WB,Both,Under 5,Malaria,Number,2005,72.59395856184967,190.54778310147185,30.006974990792
Deaths,Europe & Central Asia - WB,Both,5-14 years,Malaria,Number,2005,1.4540521915455364,4.469959555503224,0.5355110099405153
Deaths,Europe & Central Asia - WB,Both,15-49 years,Malaria,Number,2005,41.43749606567942,131.9574398007602,12.513628611253065
Deaths,Europe & Central Asia - WB,Both,50 to 74 years,Malaria,Number,2005,17.551572020839835,54.24441555474179,6.0247385012036805
Deaths,Europe & Central Asia - WB,Both,75 plus,Malaria,Number,2005,4.188638469971579,9.95017297177065,2.212314200034309
Deaths,East Asia & Pacific - WB,Both,Under 5,Malaria,Number,2003,2791.708783969896,6293.383946937187,1160.4491326669363
Deaths,East Asia & Pacific - WB,Both,5-14 years,Malaria,Number,2003,1147.0611218357294,2510.0082173702226,505.38620130575026
Deaths,East Asia & Pacific - WB,Both,15-49 years,Malaria,Number,2003,5762.3580743083985,12326.472890571025,2590.0388335348657
Deaths,East Asia & Pacific - WB,Both,50 to 74 years,Malaria,Number,2003,2890.1321203408565,6472.274375097331,1314.5296110495008
Deaths,East Asia & Pacific - WB,Both,75 plus,Malaria,Number,2003,199.91920199826077,458.0413376237793,88.84635857034675
Deaths,North America,Both,Under 5,Malaria,Number,2003,0.0,0.0,0.0
Deaths,North America,Both,5-14 years,Malaria,Number,2003,0.0,0.0,0.0
Deaths,North America,Both,15-49 years,Malaria,Number,2003,0.0,0.0,0.0
Deaths,North America,Both,50 to 74 years,Malaria,Number,2003,0.0,0.0,0.0
Deaths,North America,Both,75 plus,Malaria,Number,2003,0.0,0.0,0.0
Deaths,Sub-Saharan Africa - WB,Both,Under 5,Malaria,Number,2003,590116.1810096909,943693.141897535,294440.1247399147
Deaths,Sub-Saharan Africa - WB,Both,5-14 years,Malaria,Number,2003,34502.280916822354,55718.75426115309,16783.284082921753
Deaths,Sub-Saharan Africa - WB,Both,15-49 years,Malaria,Number,2003,94330.13140619769,156325.7609094869,45347.347625496215
Deaths,Sub-Saharan Africa - WB,Both,50 to 74 years,Malaria,Number,2003,111423.81866482378,182039.97009950058,54000.84311491987
Deaths,Sub-Saharan Africa - WB,Both,75 plus,Malaria,Number,2003,13055.23132860327,19765.864270614726,6961.055229240654
Deaths,Latin America & Caribbean - WB,Both,Under 5,Malaria,Number,2006,479.0502410592072,929.7779597800377,191.9013792430548
Deaths,Latin America & Caribbean - WB,Both,5-14 years,Malaria,Number,2006,298.69603967422063,546.4689438202712,127.39514198847726
Deaths,Latin America & Caribbean - WB,Both,15-49 years,Malaria,Number,2006,1299.6372283730786,2474.4907111247508,562.5048225873813
Deaths,Latin America & Caribbean - WB,Both,50 to 74 years,Malaria,Number,2006,481.45000337592177,956.5163591736542,198.99232559768865
Deaths,Latin America & Caribbean - WB,Both,75 plus,Malaria,Number,2006,17.790209064781823,34.9908158725656,8.175400622573237
Deaths,East Asia & Pacific - WB,Both,Under 5,Malaria,Number,2006,3350.119584644023,6828.170341995077,1375.0377158213744
Deaths,East Asia & Pacific - WB,Both,5-14 years,Malaria,Number,2006,1397.926843224174,2686.221182477224,587.0454751705987
Deaths,East Asia & Pacific - WB,Both,15-49 years,Malaria,Number,2006,7675.93704634727,14555.28151284494,3312.762934163747
Deaths,East Asia & Pacific - WB,Both,50 to 74 years,Malaria,Number,2006,4170.63912762105,8132.072824191269,1792.4863641118693
Deaths,East Asia & Pacific - WB,Both,75 plus,Malaria,Number,2006,133.8999285852059,256.69388300715343,57.98279809755281
Deaths,Sub-Saharan Africa - WB,Both,Under 5,Malaria,Number,2006,577653.8920889259,913635.8288886846,309568.06925567123
Deaths,Sub-Saharan Africa - WB,Both,5-14 years,Malaria,Number,2006,35190.21734830964,57677.17149721436,18125.78020077438
Deaths,Sub-Saharan Africa - WB,Both,15-49 years,Malaria,Number,2006,100648.61507186625,167394.977470296,51645.07337525258
Deaths,Sub-Saharan Africa - WB,Both,50 to 74 years,Malaria,Number,2006,119041.3007586137,196436.53589744025,62916.33590084102
Deaths,Sub-Saharan Africa - WB,Both,75 plus,Malaria,Number,2006,7386.399113856253,13147.89681865198,3509.310307398018
Deaths,South Asia - WB,Both,Under 5,Malaria,Number,2006,30910.024444703107,56571.82896162546,16341.550457056284
Deaths,South Asia - WB,Both,5-14 years,Malaria,Number,2006,23394.31867129913,39516.89959121992,13115.761331269128
Deaths,South Asia - WB,Both,15-49 years,Malaria,Number,2006,14078.771341356602,25951.536113317045,6863.525253180832
Deaths,South Asia - WB,Both,50 to 74 years,Malaria,Number,2006,9865.436031708106,18604.22543763494,4666.104458479927
Deaths,South Asia - WB,Both,75 plus,Malaria,Number,2006,433.85567089387985,809.7002785061325,206.22879290634793
Deaths,North America,Both,Under 5,Malaria,Number,2006,0.0,0.0,0.0
Deaths,North America,Both,5-14 years,Malaria,Number,2006,0.0,0.0,0.0
Deaths,North America,Both,15-49 years,Malaria,Number,2006,0.0,0.0,0.0
Deaths,North America,Both,50 to 74 years,Malaria,Number,2006,0.0,0.0,0.0
Deaths,North America,Both,75 plus,Malaria,Number,2006,0.0,0.0,0.0
Deaths,Europe & Central Asia - WB,Both,Under 5,Malaria,Number,2000,62.796546463898466,173.93058767408408,19.66150450606078
Deaths,Europe & Central Asia - WB,Both,5-14 years,Malaria,Number,2000,4.788680989807892,16.39322059687415,1.153714313647317
Deaths,Europe & Central Asia - WB,Both,15-49 years,Malaria,Number,2000,34.09545954247461,102.28590117685953,12.221947540992776
Deaths,Europe & Central Asia - WB,Both,50 to 74 years,Malaria,Number,2000,12.33484795917015,33.851209831773836,5.567626490532739
Deaths,Europe & Central Asia - WB,Both,75 plus,Malaria,Number,2000,2.313141813134461,3.4287178941241567,1.6977484116824821
Deaths,Europe & Central Asia - WB,Both,Under 5,Malaria,Number,2007,14.907977564441882,39.429504440459894,6.0963868200819205
Deaths,Europe & Central Asia - WB,Both,5-14 years,Malaria,Number,2007,0.39838760708901894,0.7208434987485758,0.271738644926099
Deaths,Europe & Central Asia - WB,Both,15-49 years,Malaria,Number,2007,11.12306955800801,24.70624486951063,5.907482406817764
Deaths,Europe & Central Asia - WB,Both,50 to 74 years,Malaria,Number,2007,5.888936339329977,12.512488060271558,3.2830997224666234
Deaths,Europe & Central Asia - WB,Both,75 plus,Malaria,Number,2007,2.2186685407079825,3.566839084168532,1.5837244919805165
Deaths,Middle East & North Africa - WB,Both,Under 5,Malaria,Number,2007,103.09514035553921,241.7636915523966,27.64630652580145
Deaths,Middle East & North Africa - WB,Both,5-14 years,Malaria,Number,2007,42.7084769504328,92.67351338708542,11.063878331778932
Deaths,Middle East & North Africa - WB,Both,15-49 years,Malaria,Number,2007,2707.864348140517,5185.585088585822,847.9726400519033
