"","ID","round","phase","OB_1","OB_2","OB_3","OB_4","AS_1","AS_2","AS_3","AS_4","dwmean_1","dwmean_2","dwmean_3","dwmean_4","schemas_1","schemas_2","schemas_3","schemas_4","RT_1","RT_2","RT_3","RT_4","payoff","accuracy","performance","novelty","breakR","afterbreak","type"
"84","H1318",17,33,20,5,5,10,80,6,4,18,0.22591358,0.086714286,0.2402,0.363517519,3,7,1,3,19.377,1.309,1.201,6.953832859,4.75,0,19,1,8,1,"H"
"85","H1318",17,34,12,4,10,14,36,3,14,20,0.206054054,0.312,0.3838,0.376087279,12,12,14,12,9.328,1.607,5.757,8.537832859,4.5,0.5,18,1,8,1,"H"
"86","H1318",18,35,12,2,5,2,30,1,4,1,0.145903226,0.218,0.2404,0.195,15,12,15,12,7.675,1.06,1.202,0.983832859,5.5,0,22,1,8,1,"H"
"87","H1323",1,1,15,8,12,16,43,14,15,34,0.210886364,0.417066667,0.273875,0.365253953,7,7,5,5,10.467,6.958,6.053,14.62488834,5.5,0,22,0,9,0,"H"
"88","H1323",1,2,17,7,11,10,35,7,14,23,0.304222222,0.487625,0.526266667,0.174578681,10,10,2,10,11.919,4.96,9.564,5.016888344,3.25,0.5,13,0,9,0,"H"
"89","H1323",2,3,17,9,6,5,55,9,10,11,0.193053571,0.2228,0.097909091,0.10275,4,2,4,6,11.918,3.807,1.451,1.961888344,3.5,0,14,0,9,0,"H"
"90","H1323",2,4,14,5,5,7,24,6,16,15,0.27084,0.216142857,0.189941176,0.176868022,5,5,7,9,6.771,2.387,3.665,3.500888344,5,0,20,0,9,0,"H"
"91","H1323",3,5,17,5,9,7,42,4,11,11,0.26627907,0.2218,0.28475,0.271666667,4,7,4,2,12.121,1.904,3.916,4.104888344,3.5,0,14,0,9,0,"H"
"92","H1323",3,6,18,6,8,5,55,6,17,9,0.195803571,0.289714286,0.214166667,0.195688834,9,9,8,5,11.357,3.37,5.024,2.552888344,3.75,0,15,0,9,0,"H"
"93","H1323",4,7,15,5,7,12,38,7,11,19,0.227205128,0.146375,0.299,0.238794417,6,10,2,5,9.095,1.841,3.588,5.338888344,4.5,0,18,0,9,0,"H"
"94","H1323",4,8,13,5,2,10,18,11,5,16,0.371157895,0.2925,0.229,0.321522844,1,3,8,7,7.223,3.79,1.404,6.761888344,4,0,16,0,9,0,"H"
"95","H1323",5,9,14,6,10,6,27,8,14,6,0.296392857,0.097,0.3912,0.207984049,3,1,8,1,9.188,1.763,6.63,2.267888344,3.25,0,13,0,9,0,"H"
"96","H1323",5,10,20,9,6,12,41,12,6,17,0.253714286,0.213538462,0.140428571,0.258216019,5,6,6,6,10.656,3.572,1.825,5.381888344,5.75,0.5,23,0,9,0,"H"
"97","H1323",6,11,13,14,13,5,26,18,22,4,0.307333333,0.207789474,0.263826087,0.235777669,6,4,6,3,9.453,4.603,6.068,1.741888344,4.75,0,19,0,9,0,"H"
"98","H1323",6,12,17,4,11,3,26,3,12,2,0.302222222,0.2575,0.309538462,0.331962781,7,9,10,7,8.238,1.591,4.492,1.338888344,4.75,0,19,0,9,0,"H"
"99","H1323",7,13,10,6,6,4,18,6,7,5,0.184789474,0.169428571,0.4175,0.131481391,7,2,7,3,4.212,1.981,3.48,1.258888344,5.25,0,21,0,9,0,"H"
"100","H1323",7,14,8,5,8,7,13,4,8,8,0.313142857,0.2154,0.199333333,0.324987594,9,6,6,5,4.384,1.965,2.668,2.955888344,5.25,0,21,0,9,0,"H"
"101","H1323",8,15,15,13,15,14,34,33,38,47,0.169857143,0.119264706,0.185179487,0.183268507,6,6,5,5,7.161,4.992,7.332,9.219888344,5.5,0,22,0,9,0,"H"
"102","H1323",8,16,15,4,7,5,82,4,7,6,0.103325301,0.1276,0.16175,0.338126906,7,9,7,9,9.156,2.2,1.731,2.397888344,5,0,20,0,9,0,"H"
"103","H1323",9,17,17,11,9,1,40,22,13,0,0.207731707,0.337086957,0.237357143,0.309888344,13,7,7,7,9.063,8.362,4.103,1.042888344,5,0.5,20,1,9,1,"H"
