Gene,logFC,FDR
1700029I01Rik,1.055880484,0.38266
1700029I15Rik,0.464689917,0.746667
1700029J07Rik,-1.038909874,0.107594
1700029J11Rik,-0.657766271,0.596219
1700029M20Rik,0.154307112,1
1700029P11Rik,-0.370061586,1
1700030C10Rik,-0.34915685,1
1700030F18Rik,0,1
1700030J22Rik,-0.091484129,0.927575
1700030K09Rik,-0.376036944,0.661824
1700031F05Rik,-0.270210767,1
1700031F10Rik,0.793302456,1
1700031M16Rik,0,1
1700034E13Rik,-1.13839524,1
1700034F02Rik,0.688758199,1
1700034H14Rik,-0.269943317,0.550589
1700034H15Rik,-0.74339151,0.712117
1700034I23Rik,-0.200229016,1
1700034J05Rik,0,1
1700034O15Rik,0,1
1700037C18Rik,-0.484110555,0.779021
1700037H04Rik,0.049382264,0.940574
1700039E15Rik,-0.191654869,1
1700040F15Rik,0,1
1700040I03Rik,-0.015320087,0.989522
1700040L02Rik,-0.438952648,0.595601
1700041B01Rik,0,1
1700041C02Rik,-0.603434315,1
1700041C23Rik,0,1
1700042B14Rik,0.78379272,1
1700042G07Rik,2.099965052,1
1700044K03Rik,0,1
1700045I19Rik,-2.615906208,0.204591
1700047M11Rik,1.102683019,1
1700048O20Rik,-1.26415785,0.184953
1700049E15Rik,5.506360745,0.000670633
1700049E17Rik1,0.250198805,1
1700049G17Rik,0.169034437,0.806072
1700049L16Rik,0,1
1700052I22Rik,0,1
1700052K11Rik,-0.302352939,0.61745
1700052N19Rik,0.290084566,0.486032
1700054K19Rik,0,1
1700054N08Rik,0.202751126,0.816212
1700054O13Rik,1.831723237,1
1700056E22Rik,0.560891443,0.545297
1700057G04Rik,-0.670638236,1
1700057K13Rik,-0.316929015,1
1700058C13Rik,1.017080981,1
1700058G18Rik,-0.625521326,1
1700060C20Rik,0.477265455,1
1700061G19Rik,1.298157827,0.0453281
1700061J05Rik,-0.990352977,1
1700065D16Rik,-0.07105761,1
1700065I17Rik,0,1
1700066B19Rik,3.150171684,0.000670633
1700066M21Rik,0.242276293,0.609859
1700066O22Rik,0,1
1700067K01Rik,0.567657831,1
1700067P10Rik,-1.977598786,1
1700069L16Rik,0,1
1700071K01Rik,-0.362585468,1
1700072E05Rik,0,1
1700073E17Rik,-1.711857629,1
1700074P13Rik,0,1
1700080E11Rik,0,1
1700080O16Rik,0,1
1700081L11Rik,-0.115463317,0.719563
1700084C01Rik,-2.521645535,0.000670633
1700084E18Rik,-0.569268739,0.579683
1700084J12Rik,0.481835569,0.930257
1700086L19Rik,-0.841475432,1
1700086O06Rik,0.323289175,0.871246
1700088E04Rik,-1.327379122,0.373393
1700090G07Rik,0,1
1700092M07Rik,0.920059435,0.512622
1700093K21Rik,-0.799755256,1
1700094C09Rik,0,1
1700094D03Rik,-0.633108139,0.117001
1700096J18Rik,-0.247723942,1
1700096K18Rik,0.187631803,0.833413
1700101E01Rik,-1.606009854,0.0591278
1700102P08Rik,0.269405682,0.827579
1700106J16Rik,0,1
1700106N22Rik,-0.014517504,0.9856
1700108F19Rik,-1.147866734,1
1700108J01Rik,0,1
1700108M19Rik,0.725851944,1
1700109F18Rik,0.604817156,1
1700109G14Rik,-0.466300307,1
1700109H08Rik,-0.46258831,0.927416
1700110M21Rik,0,1
1700111N16Rik,0,1
1700112E06Rik,0.372981554,0.625227
1700113H08Rik,-0.310629784,1
1700113I22Rik,0.122521224,0.954929
1700120K04Rik,-0.548631991,0.877569
1700121N20Rik,0,1
1700123I01Rik,-1.454403555,1
1700123K08Rik,0.930235903,1
1700123L14Rik,0,1
1700123O20Rik,0.337021635,0.661824
1700125D06Rik,0.184914685,1
1700125H20Rik,2.155226307,1
1700128F08Rik,0,1
1700129C05Rik,0,1
1810006K21Rik,0.38122438,0.394405
1810008A18Rik,0.242840961,0.480929
1810009A15Rik,0.225629956,0.643518
1810009J06Rik,0.542639416,1
1810010D01Rik,-0.853191196,0.703795
1810010H24Rik,-0.615511124,0.14701
1810011H11Rik,1.284588739,0.00488912
1810011O10Rik,0.291647597,0.332185
