Gene,FDR,FC
Abi3bp,0.000173035,0.135495402
Ablim2,0.001594127,0.394555024
Ablim3,0.005201437,0.209548329
Abra,0.005064878,0.269556373
Acacb,0.013623322,0.305336829
Acbd4,0.001320887,0.585483826
Ace,0.000360692,0.140042182
Acer2,0.00741471,0.239697866
Acot1,0.002623724,0.255911367
Acot2,0.00203435,0.392386701
Acot7,0.009852021,0.178299664
Acoxl,1.59E-05,0.008374901
Acoxl,3.96E-05,0.01394096
Acp5,0.002753409,3.526670046
Acp5,0.001586751,3.408888786
Acpp,0.000743972,22.56503917
Acsl1,0.000115304,2.951244498
Acsl3,3.11E-05,2.733400274
Acsl6,0.012383491,2.270884906
Acsm3,0.004091311,3.40383229
Acsm3,0.00698386,3.128553498
Acss3,0.000210734,0.214082149
Actc1,0.000993107,0.018532473
Actg1,0.01542547,1.641231446
Actg1,0.036476754,1.592177881
Actg2,0.003084383,0.329531417
Actn1,0.032691127,1.991369069
Acvr2a,0.00111745,0.50732056
Acvr2b,0.000413388,0.305999342
Acvrl1,0.001133227,0.117807783
Adam10,0.00319053,2.111039974
Adam18,0.001244573,0.356719382
Adam22,3.81E-05,0.123813394
Adam28,0.000124899,20.53687138
Adam3,0.00238496,0.273725266
Adam33,0.001712392,0.233580163
Adam33,0.000613483,0.242008067
Adam8,0.001492813,5.346019249
Adamdec1,0.004419155,7.562598538
Adamdec1,0.002262195,3.882004511
Adamts10,8.17E-05,0.161995561
Adamts15,0.001773219,0.175372683
Adamts17,0.000599276,0.15719514
Adamts4,2.58E-05,15.97668604
Adamts5,0.003872813,0.335592601
Adamts5,0.006897002,0.396643226
Adamts8,0.000511641,0.089902976
Adamtsl2,0.00099529,0.07976513
Adamtsl5,0.001094132,0.49403079
Adarb1,0.000285046,0.154812997
Adat3,0.001232778,2.186868202
Adc,0.003226733,0.455525157
Adcy2,2.23E-05,0.230161901
Adcy4,0.000399671,0.160837361
Adcy5,0.00380045,0.165464106
Adcy5,0.004279442,0.199008308
