SPRING-x	SPRING-y	Annotation
612.171	-902.91	Neutrophil
-1062.191	-1233.876	Baso
2746.172	-130.691	Monocyte
2680.473	-1659.268	Neutrophil
-1078.07	-1416.199	Baso
-929.758	456.907	Undifferentiated
2691.627	-1886.721	Neutrophil
639.493	-557.781	Undifferentiated
1527.097	-468.874	Monocyte
-1866.029	739.786	Meg
358.076	117.353	Undifferentiated
-1495.195	-769.398	Mast
1698.941	-375.428	Monocyte
1318.506	-493.958	Undifferentiated
248.65	468.915	Undifferentiated
-1104.72	-1638.44	Baso
2537.119	-280.026	Monocyte
1954.989	-2101.42	Neutrophil
2770.181	-1443.044	Neutrophil
-1417.832	-845.808	Mast
523.554	-426.825	Undifferentiated
700.384	-1483.625	Neutrophil
-1789.591	-906.656	Mast
1525.72	-183.388	Monocyte
2301.329	-324.654	Monocyte
2222.931	-561.059	Undifferentiated
1316.56	-132.718	Undifferentiated
635.513	-1438.482	Neutrophil
-966.788	-955.699	Baso
2288.485	-2075.1	Neutrophil
1787.406	-2200.238	Neutrophil
2586.908	-1921.534	Neutrophil
2689.393	-1084.4	Neutrophil
558.533	-498.281	Undifferentiated
669.308	-347.438	Undifferentiated
529.287	-320.694	Undifferentiated
-1018.589	-1199.188	Baso
1587.819	-2213.508	Neutrophil
715.097	1457.752	Undifferentiated
1532.52	-2186.632	Neutrophil
1229.029	-1873.046	Neutrophil
-972.254	-2083.944	Baso
-1721.99	-876.121	Mast
2132.464	-2117.887	Neutrophil
2667.009	-1857.852	Neutrophil
2703.072	-1219.848	Neutrophil
531.664	-634.097	Undifferentiated
-4.211	110.348	Undifferentiated
1016.579	-584.519	Undifferentiated
617.459	-835.966	Undifferentiated
2867.637	132.136	Monocyte
-1062.676	-1789.314	Baso
1191.333	-2010.374	Neutrophil
1222.631	-1900.659	Neutrophil
1350.166	-548.904	Undifferentiated
2494.155	-578.135	Monocyte
-1008.839	-1101.451	Baso
2562.351	-290.772	Monocyte
1372.81	-218.152	Undifferentiated
-1063.238	349.202	Undifferentiated
2899.177	174.049	Monocyte
605.291	-464.108	Undifferentiated
528.148	-111.818	Undifferentiated
617.44	-1169.091	Neutrophil
1702.176	-251.892	Monocyte
449.802	-5.845	Undifferentiated
1928.372	-124.81	Monocyte
2415.215	-2037.373	Neutrophil
1612.311	-240.308	Monocyte
2891.46	327.476	Monocyte
-1870.736	-948.112	Mast
-1086.413	-1764.856	Baso
-492.684	-1765.128	Eos
845.348	222.526	Undifferentiated
2630.946	-365.177	Monocyte
520.228	-807.198	Undifferentiated
669.08	273.498	Undifferentiated
646.662	-1272.855	Neutrophil
2996.782	209.658	Monocyte
2264.638	-348.514	Monocyte
-1391.331	-646.751	Mast
855.941	-1738.128	Neutrophil
