naive_hESC_rep1	naive_hESC_rep2	naive_hESC_rep3	naive_hESC_rep4	primed_hESC_rep1	primed_hESC_rep2	primed_hESC_rep3	primed_hESC_rep4	exonlength
ACY1	4	1	0	0	0	0	0	0	7799
ACY3	0	0	0	0	0	2	0	0	1292
ACYP1	90	113	85	84	88	105	90	107	1286
ACYP2	13	9	14	25	36	37	56	21	1218
ADA	221	228	182	177	54	54	39	58	1520
ADAD1	10	6	5	6	0	0	0	0	5886
ADAD2	0	1	0	1	2	0	0	0	4341
ADAL	162	199	142	182	308	233	363	306	5109
ADAM1	98	80	182	101	80	112	75	127	2839
ADAM10	2457	2631	2352	2732	2679	2085	2903	2714	3911
ADAM11	5	7	14	13	4	2	2	10	4375
ADAM12	3	4	6	3	41	11	16	9	9465
ADAM15	50	70	95	109	13	11	5	14	17157
ADAM17	1385	1397	1456	1879	569	415	433	592	3534
ADAM18	18	10	7	12	0	0	2	0	3819
ADAM19	990	804	589	760	572	307	163	202	6458
ADAM2	0	0	0	0	2	0	0	0	2621
ADAM20	3	9	8	4	14	24	9	19	2790
ADAM21	0	0	2	1	9	13	8	14	2662
ADAM21P1	0	1	1	0	4	3	3	1	2048
ADAM22	17	24	30	40	464	466	563	645	33376
ADAM23	136	232	216	267	347	367	305	416	3024
ADAM28	0	0	0	2	23	18	20	27	5291
ADAM29	0	0	0	0	2	0	0	1	12910
ADAM30	0	0	0	0	2	0	0	0	2991
ADAM32	4	4	9	4	7	8	2	4	2702
ADAM33	28	66	57	48	19	21	12	17	6917
ADAM3A	0	0	3	2	3	4	2	4	7439
ADAM5P	0	0	0	0	2	0	0	0	1690
ADAM6	0	0	0	0	0	0	0	0	1840
ADAM7	0	0	0	0	0	1	3	3	3374
ADAM8	15	14	21	10	2	3	2	2	9398
ADAM9	1215	1382	1073	1265	908	515	597	704	15873
ADAMDEC1	0	0	0	0	1	1	1	0	6973
ADAMTS1	51	31	45	45	565	271	338	385	4642
ADAMTS10	1	0	0	0	10	12	9	12	4211
ADAMTS12	369	429	369	508	266	169	146	198	4930
ADAMTS13	11	20	25	13	10	14	10	21	17240
ADAMTS14	4	17	12	5	5	3	3	9	10481
ADAMTS15	7	10	10	10	4	10	10	7	5668
ADAMTS16	3	6	11	8	193	229	290	253	4951
ADAMTS17	34	51	98	83	35	63	26	65	6309
ADAMTS18	2	0	4	1	40	30	29	19	5890
ADAMTS19	3	4	9	4	503	469	391	497	5066
ADAMTS2	31	16	28	26	94	101	87	89	8768
ADAMTS20	28	48	27	34	128	147	135	171	5694
ADAMTS3	125	179	139	124	130	107	147	166	5800
ADAMTS4	81	98	270	185	125	170	96	204	4323
ADAMTS5	5	2	8	2	51	33	74	59	9655
ADAMTS6	9	9	24	12	92	113	92	124	7243
ADAMTS7	3	16	20	20	43	45	31	47	5466
ADAMTS8	6	15	7	6	41	38	47	65	3654
ADAMTS9	11	18	42	22	794	312	79	66	7272
ADAMTS9-AS2	0	0	1	1	3	2	2	0	2222
ADAMTSL1	3	1	1	0	12	14	11	22	9680
ADAMTSL2	62	76	226	146	84	110	60	113	7756
ADAMTSL3	48	40	48	41	70	62	36	70	7305
ADAMTSL4	53	80	130	118	60	31	25	44	7060
ADAMTSL5	72	100	187	128	11	13	17	10	2845
ADAP1	7	11	8	7	1	0	1	1	2311
ADAP2	30	39	43	34	2	3	3	5	2738
ADAR	4578	5084	3798	4835	4172	3958	4847	5222	32974
ADARB1	148	199	272	227	186	202	208	173	34903
ADARB2	9	14	20	22	17	33	17	26	8416
ADARB2-AS1	0	0	0	0	0	3	0	3	642
ADAT1	324	475	620	502	270	324	208	382	7126
ADAT2	144	262	269	234	444	440	670	532	6247
ADAT3	21	12	15	23	2	5	0	3	1578
ADC	4	13	9	5	2	5	1	2	2170
ADCK1	157	159	117	145	33	35	24	42	4243
ADCK2	102	151	87	89	14	19	14	20	2356
ADCK3	251	455	214	242	151	185	96	207	2909
ADCK4	18	35	27	33	12	15	20	18	4489
ADCK5	17	26	67	49	2	3	1	1	1946
ADCY1	83	108	148	110	300	340	288	394	12478
ADCY10	49	31	59	31	24	40	8	15	10324
ADCY2	8	12	27	18	975	861	721	1152	6528
ADCY3	213	262	313	301	89	79	67	127	4375
ADCY4	3	0	8	7	5	0	1	4	10477
ADCY5	2	3	3	3	24	20	26	24	11179
ADCY6	56	88	174	113	146	135	84	171	12401
ADCY7	51	71	108	108	176	176	130	132	6113
ADCY8	0	1	1	0	29	15	10	27	4083
ADCY9	207	195	239	256	100	113	111	162	7716
ADCYAP1	0	0	0	0	1	0	2	0	6337
ADCYAP1R1	7	7	13	35	62	56	41	84	26002
ADD1	1491	1636	1167	1397	564	474	398	646	16008
ADD2	335	274	233	297	1568	1584	1927	2394	19378
ADD3	3084	3005	1832	3403	6222	3829	6301	4905	12934
ADGB	0	0	1	0	2	0	0	0	5253
ADH1A	1	0	0	0	0	2	2	3	1491
ADH1B	0	0	0	0	1	1	2	4	2673
ADH1C	0	0	1	0	0	1	0	0	1464
ADH4	8	2	8	10	17	42	23	36	1970
ADH5	2743	3282	1441	1901	1724	1356	1911	2174	2634
ADH6	1	2	4	0	15	12	30	24	4186
ADH7	0	0	0	0	0	1	0	0	4373
ADHFE1	4	4	7	7	25	31	28	27	1881
ADI1	1404	1216	865	1187	126	96	90	98	1672
ADIG	0	0	0	0	0	0	0	0	767
ADIPOQ	60	81	154	122	52	67	46	77	9200
ADIPOR1	1859	2097	1750	2683	898	772	619	1022	6404
ADIPOR2	1422	1216	876	1263	175	161	144	240	3957
ADK	185	204	108	125	359	252	307	285	8375
ADM	40	53	24	31	359	186	51	100	1445
ADM2	150	136	211	210	79	102	76	127	8300
ADNP	3567	3207	2475	3446	3557	3227	4191	4010	9242
ADNP2	997	1047	673	965	715	598	1248	866	5383
ADO	127	96	57	97	187	212	188	138	3723
ADORA1	11	6	6	7	4	3	3	4	5676
ADORA2A	47	66	46	53	7	5	1	6	2563
ADORA2B	104	94	83	119	57	76	43	77	1883
ADORA3	7	4	2	1	2	2	1	4	5544
ADPGK	791	999	934	675	207	192	189	236	7585
ADPRH	38	40	44	59	78	77	77	79	3434
ADPRHL1	16	15	21	27	2	1	2	1	3563
ADPRHL2	178	187	92	91	36	34	21	48	1685
ADRA1A	64	93	181	136	74	114	69	119	8664
ADRA1B	0	0	0	0	0	0	0	0	2252
ADRA1D	1	1	0	0	1	2	1	3	2664
ADRA2A	0	1	0	0	18	34	19	16	3872
ADRA2B	1	0	1	3	0	5	5	5	3265
ADRA2C	233	278	242	323	11	14	10	17	1957
ADRB1	0	0	0	0	1	1	0	1	2861
ADRB2	2	0	1	5	11	12	4	7	2041
ADRB3	0	0	1	1	3	0	0	3	2644
ADRBK1	60	95	85	92	20	19	14	18	3423
ADRBK2	1577	1891	2016	2571	1719	1650	1964	2173	9034
ADRM1	689	654	482	613	92	129	79	145	2786
ADSL	866	1040	601	714	396	473	361	578	2924
ADSS	359	484	317	433	555	542	660	572	2769
ADSSL1	4	6	4	8	15	39	18	19	3541
ADTRP	167	195	197	125	3	4	2	3	3649
AEBP1	54	123	107	67	256	202	189	251	4060
AEBP2	1399	1380	911	1259	1459	1437	2259	1652	10742
AEN	1505	1608	919	1000	221	304	148	305	3112
AES	19	18	20	23	91	58	49	73	5071
AFAP1	1492	1516	1250	1716	286	265	259	365	15253
AFAP1-AS1	69	142	198	161	60	76	64	97	6792
AFAP1L1	604	626	429	633	41	41	51	63	8258
AFAP1L2	5	4	9	8	24	19	11	12	7902
AFF1	3466	3036	3110	4064	4371	3997	5044	5070	18622
AFF2	652	632	657	816	953	775	1048	728	80533
AFF3	94	101	188	175	71	107	77	125	16209
AFF4	4492	4292	3458	4197	5054	4030	4649	4372	9559
AFG3L1P	158	270	307	211	98	86	42	111	8004
AFG3L2	1570	1717	1123	1442	524	469	438	791	3192
